transaction_id,store_id,product_id,quantity,unit_price,total_amount,transaction_at
TXN-00001,S001,P001,1,120,130,2025-01-01 08:15:00
TXN-00002,S002,P005,2,140,302,2025-01-01 10:30:00
TXN-00003,S003,P009,1,200,220,2025-01-01 12:10:00
TXN-00004,S004,P013,3,150,495,2025-01-01 14:20:00
TXN-00005,S005,P002,2,150,324,2025-01-01 16:40:00
TXN-00006,S001,P006,1,300,324,2025-01-01 18:05:00
TXN-00007,S001,P001,1,120,130,2025-01-02 08:15:00
TXN-00008,S002,P005,2,140,302,2025-01-02 10:30:00
TXN-00009,S003,P009,1,200,220,2025-01-02 12:10:00
TXN-00010,S004,P013,3,150,495,2025-01-02 14:20:00
TXN-00011,S005,P002,2,150,324,2025-01-02 16:40:00
TXN-00012,S001,P006,1,300,324,2025-01-02 18:05:00
TXN-00013,S001,P001,1,120,130,2025-01-03 08:15:00
TXN-00014,S002,P005,2,140,302,2025-01-03 10:30:00
TXN-00015,S003,P009,1,200,220,2025-01-03 12:10:00
TXN-00016,S004,P013,3,150,495,2025-01-03 14:20:00
TXN-00017,S005,P002,2,150,324,2025-01-03 16:40:00
TXN-00018,S001,P006,1,300,324,2025-01-03 18:05:00
TXN-00019,S001,P001,1,120,130,2025-01-04 08:15:00
TXN-00020,S002,P005,2,140,302,2025-01-04 10:30:00
TXN-00021,S003,P009,1,200,220,2025-01-04 12:10:00
TXN-00022,S004,P013,3,150,495,2025-01-04 14:20:00
TXN-00023,S005,P002,2,150,324,2025-01-04 16:40:00
TXN-00024,S001,P006,1,300,324,2025-01-04 18:05:00
TXN-00025,S001,P001,1,120,130,2025-01-05 08:15:00
TXN-00026,S002,P005,2,140,302,2025-01-05 10:30:00
TXN-00027,S003,P009,1,200,220,2025-01-05 12:10:00
TXN-00028,S004,P013,3,150,495,2025-01-05 14:20:00
TXN-00029,S005,P002,2,150,324,2025-01-05 16:40:00
TXN-00030,S001,P006,1,300,300,2025-01-05 18:05:00
TXN-00031,S001,P001,1,120,130,2025-01-06 08:15:00
TXN-00032,S002,P005,2,140,302,2025-01-06 10:30:00
TXN-00033,S003,P009,1,200,220,2025-01-06 12:10:00
TXN-00034,S004,P013,3,150,495,2025-01-06 14:20:00
TXN-00035,S005,P002,2,150,324,2025-01-06 16:40:00
TXN-00036,S001,P006,1,300,324,2025-01-06 18:05:00
TXN-00037,S001,P001,1,120,130,2025-01-07 08:15:00
TXN-00038,S002,P005,2,140,302,2025-01-07 10:30:00
TXN-00039,S003,P009,1,200,220,2025-01-07 12:10:00
TXN-00040,S004,P013,3,150,495,2025-01-07 14:20:00
TXN-00041,S005,P002,2,150,324,2025-01-07 16:40:00
TXN-00042,S001,P006,1,300,324,2025-01-07 18:05:00
TXN-00043,S001,P001,1,120,130,2025-01-08 08:15:00
TXN-00044,S002,P005,2,140,302,2025-01-08 10:30:00
TXN-00045,S003,P009,1,200,220,2025-01-08 12:10:00
TXN-00046,S004,P013,3,150,495,2025-01-08 14:20:00
TXN-00047,S005,P002,2,150,324,2025-01-08 16:40:00
TXN-00048,S001,P006,1,300,324,2025-01-08 18:05:00
TXN-00049,S001,P001,1,120,130,2025-01-09 08:15:00
